Tm,Division,W,L,T,W-L%,Pts,PtsO,PtDif,Year
Houston Texans,AFC South,4,12,0,0.25,384,464,-80,2020
Jacksonville Jaguars,AFC South,1,15,0,0.063,306,492,-186,2020
Kansas City Chiefs,AFC West,14,2,0,0.875,473,362,111,2020
Las Vegas Raiders,AFC West,8,8,0,0.5,434,478,-44,2020
Los Angeles Chargers,AFC West,7,9,0,0.438,384,426,-42,2020
Denver Broncos,AFC West,5,11,0,0.313,323,446,-123,2020
Washington Football Team,NFC East,7,9,0,0.438,335,329,6,2020
New York Giants,NFC East,6,10,0,0.375,280,357,-77,2020
Dallas Cowboys,NFC East,6,10,0,0.375,395,473,-78,2020
Philadelphia Eagles,NFC East,4,11,1,0.281,334,418,-84,2020
Green Bay Packers,NFC North,13,3,0,0.813,509,369,140,2020
Chicago Bears,NFC North,8,8,0,0.5,372,370,2,2020
Minnesota Vikings,NFC North,7,9,0,0.438,430,475,-45,2020
Detroit Lions,NFC North,5,11,0,0.313,377,519,-142,2020
New Orleans Saints,NFC South,12,4,0,0.75,482,337,145,2020
Tampa Bay Buccaneers,NFC South,11,5,0,0.688,492,355,137,2020
Carolina Panthers,NFC South,5,11,0,0.313,350,402,-52,2020
Atlanta Falcons,NFC South,4,12,0,0.25,396,414,-18,2020
Seattle Seahawks,NFC West,12,4,0,0.75,459,371,88,2020
Los Angeles Rams,NFC West,10,6,0,0.625,372,296,76,2020
Arizona Cardinals,NFC West,8,8,0,0.5,410,367,43,2020
San Francisco 49ers,NFC West,6,10,0,0.375,376,390,-14,2020
New England Patriots,AFC East,12,4,0,0.75,420,225,195,2019
Buffalo Bills,AFC East,10,6,0,0.625,314,259,55,2019
New York Jets,AFC East,7,9,0,0.438,276,359,-83,2019
Miami Dolphins,AFC East,5,11,0,0.313,306,494,-188,2019
Baltimore Ravens,AFC North,14,2,0,0.875,531,282,249,2019
Pittsburgh Steelers,AFC North,8,8,0,0.5,289,303,-14,2019
Cleveland Browns,AFC North,6,10,0,0.375,335,393,-58,2019
Cincinnati Bengals,AFC North,2,14,0,0.125,279,420,-141,2019
Houston Texans,AFC South,10,6,0,0.625,378,385,-7,2019
Tennessee Titans,AFC South,9,7,0,0.563,402,331,71,2019
Indianapolis Colts,AFC South,7,9,0,0.438,361,373,-12,2019
Jacksonville Jaguars,AFC South,6,10,0,0.375,300,397,-97,2019
Kansas City Chiefs,AFC West,12,4,0,0.75,451,308,143,2019
Denver Broncos,AFC West,7,9,0,0.438,282,316,-34,2019
Oakland Raiders,AFC West,7,9,0,0.438,313,419,-106,2019
Los Angeles Chargers,AFC West,5,11,0,0.313,337,345,-8,2019
Philadelphia Eagles,NFC East,9,7,0,0.563,385,354,31,2019
Dallas Cowboys,NFC East,8,8,0,0.5,434,321,113,2019
New York Giants,NFC East,4,12,0,0.25,341,451,-110,2019
Washington Redskins,NFC East,3,13,0,0.188,266,435,-169,2019
Green Bay Packers,NFC North,13,3,0,0.813,376,313,63,2019
Minnesota Vikings,NFC North,10,6,0,0.625,407,303,104,2019
Chicago Bears,NFC North,8,8,0,0.5,280,298,-18,2019
Detroit Lions,NFC North,3,12,1,0.219,341,423,-82,2019
New Orleans Saints,NFC South,13,3,0,0.813,458,341,117,2019
Atlanta Falcons,NFC South,7,9,0,0.438,381,399,-18,2019
Tampa Bay Buccaneers,NFC South,7,9,0,0.438,458,449,9,2019
Carolina Panthers,NFC South,5,11,0,0.313,340,470,-130,2019
San Francisco 49ers,NFC West,13,3,0,0.813,479,310,169,2019
Seattle Seahawks,NFC West,11,5,0,0.688,405,398,7,2019
Los Angeles Rams,NFC West,9,7,0,0.563,394,364,30,2019
Arizona Cardinals,NFC West,5,10,1,0.344,361,442,-81,2019
New England Patriots,AFC East,11,5,0,0.688,436,325,111,2018
Miami Dolphins,AFC East,7,9,0,0.438,319,433,-114,2018
Buffalo Bills,AFC East,6,10,0,0.375,269,374,-105,2018
New York Jets,AFC East,4,12,0,0.25,333,441,-108,2018
Baltimore Ravens,AFC North,10,6,0,0.625,389,287,102,2018
Pittsburgh Steelers,AFC North,9,6,1,0.594,428,360,68,2018
Cleveland Browns,AFC North,7,8,1,0.469,359,392,-33,2018
Cincinnati Bengals,AFC North,6,10,0,0.375,368,455,-87,2018
Houston Texans,AFC South,11,5,0,0.688,402,316,86,2018
Indianapolis Colts,AFC South,10,6,0,0.625,433,344,89,2018
Tennessee Titans,AFC South,9,7,0,0.563,310,303,7,2018
Jacksonville Jaguars,AFC South,5,11,0,0.313,245,316,-71,2018
Kansas City Chiefs,AFC West,12,4,0,0.75,565,421,144,2018
Los Angeles Chargers,AFC West,12,4,0,0.75,428,329,99,2018
Denver Broncos,AFC West,6,10,0,0.375,329,349,-20,2018
Oakland Raiders,AFC West,4,12,0,0.25,290,467,-177,2018
Dallas Cowboys,NFC East,10,6,0,0.625,339,324,15,2018
Philadelphia Eagles,NFC East,9,7,0,0.563,367,348,19,2018
Washington Redskins,NFC East,7,9,0,0.438,281,359,-78,2018
New York Giants,NFC East,5,11,0,0.313,369,412,-43,2018
Chicago Bears,NFC North,12,4,0,0.75,421,283,138,2018
Minnesota Vikings,NFC North,8,7,1,0.531,360,341,19,2018
Green Bay Packers,NFC North,6,9,1,0.406,376,400,-24,2018
Detroit Lions,NFC North,6,10,0,0.375,324,360,-36,2018
New Orleans Saints,NFC South,13,3,0,0.813,504,353,151,2018
Atlanta Falcons,NFC South,7,9,0,0.438,414,423,-9,2018
Carolina Panthers,NFC South,7,9,0,0.438,376,382,-6,2018
Tampa Bay Buccaneers,NFC South,5,11,0,0.313,396,464,-68,2018
Los Angeles Rams,NFC West,13,3,0,0.813,527,384,143,2018
Seattle Seahawks,NFC West,10,6,0,0.625,428,347,81,2018
San Francisco 49ers,NFC West,4,12,0,0.25,342,435,-93,2018
Arizona Cardinals,NFC West,3,13,0,0.188,225,425,-200,2018
New England Patriots,AFC East,13,3,0,0.813,458,296,162,2017
Buffalo Bills,AFC East,9,7,0,0.563,302,359,-57,2017
Miami Dolphins,AFC East,6,10,0,0.375,281,393,-112,2017
New York Jets,AFC East,5,11,0,0.313,298,382,-84,2017
Pittsburgh Steelers,AFC North,13,3,0,0.813,406,308,98,2017
Baltimore Ravens,AFC North,9,7,0,0.563,395,303,92,2017
Cincinnati Bengals,AFC North,7,9,0,0.438,290,349,-59,2017
Cleveland Browns,AFC North,0,16,0,0,234,410,-176,2017
Jacksonville Jaguars,AFC South,10,6,0,0.625,417,268,149,2017
Tennessee Titans,AFC South,9,7,0,0.563,334,356,-22,2017
Indianapolis Colts,AFC South,4,12,0,0.25,263,404,-141,2017
Houston Texans,AFC South,4,12,0,0.25,338,436,-98,2017
Kansas City Chiefs,AFC West,10,6,0,0.625,415,339,76,2017
Los Angeles Chargers,AFC West,9,7,0,0.563,355,272,83,2017
Oakland Raiders,AFC West,6,10,0,0.375,301,373,-72,2017
Denver Broncos,AFC West,5,11,0,0.313,289,382,-93,2017
Philadelphia Eagles,NFC East,13,3,0,0.813,457,295,162,2017
Dallas Cowboys,NFC East,9,7,0,0.563,354,332,22,2017
Washington Redskins,NFC East,7,9,0,0.438,342,388,-46,2017
New York Giants,NFC East,3,13,0,0.188,246,388,-142,2017
Minnesota Vikings,NFC North,13,3,0,0.813,382,252,130,2017
Detroit Lions,NFC North,9,7,0,0.563,410,376,34,2017
Green Bay Packers,NFC North,7,9,0,0.438,320,384,-64,2017
Chicago Bears,NFC North,5,11,0,0.313,264,320,-56,2017
New Orleans Saints,NFC South,11,5,0,0.688,448,326,122,2017
Carolina Panthers,NFC South,11,5,0,0.688,363,327,36,2017
Atlanta Falcons,NFC South,10,6,0,0.625,353,315,38,2017
